ZIP census tabulation area,ZIP Code name,Total population (2020 Census)
1525,"Linwood, MA (PO boxes)",73
1527,"Millbury, MA",13799
1529,"Millville, MA",3174
1531,"New Braintree, MA",996
1532,"Northborough, MA",15741
1534,"Northbridge, MA",6233
1535,"North Brookfield, MA",4735
1536,"North Grafton, MA",7514
1537,"North Oxford, MA",2141
1540,"Oxford, MA",11032
1541,"Princeton, MA",3495
1542,"Rochdale, MA",2366
1543,"Rutland, MA",9049
1545,"Shrewsbury, MA",38316
1550,"Southbridge, MA",17740
1560,"South Grafton, MA",4896
1561,"South Lancaster, MA (PO boxes)",64
1562,"Spencer, MA",11992
1564,"Sterling, MA",7985
1566,"Sturbridge, MA",6691
1568,"Upton, MA",7900
1569,"Uxbridge, MA",14193
1570,"Webster, MA",17776
1571,"Dudley, MA",11921
1581,"Westborough, MA",21567
1583,"West Boylston, MA",7652
1585,"West Brookfield, MA",4899
1588,"Whitinsville, MA",10106
1590,"Sutton, MA",9279
1602,"Worcester, MA",25382
1603,"Worcester, MA",22417
1604,"Worcester, MA",41301
1605,"Worcester, MA",29218
1606,"Worcester, MA",21651
1607,"Worcester, MA",9378
1608,"Worcester, MA",4996
1609,"Worcester, MA",23870
1610,"Worcester, MA",28717
1611,"Cherry Valley, MA",2277
1612,"Paxton, MA",5051
1701,"Framingham, MA",33005
1702,"Framingham, MA",39515
1718,"Acton, MA",688
1719,"Boxborough, MA",5506
1720,"Acton, MA",23232
1721,"Ashland, MA",18832
1730,"Bedford, MA",14566
1731,"Hanscom AFB, MA",1555
1740,"Bolton, MA",5665
1741,"Carlisle, MA",5237
1742,"Concord, MA",18545
1745,"Fayville, MA",433
1746,"Holliston, MA",14996
1747,"Hopedale, MA",6017
1748,"Hopkinton, MA",18758
1749,"Hudson, MA",20092
1752,"Marlborough, MA",41793
1754,"Maynard, MA",10730
1756,"Mendon, MA",6228
1757,"Milford, MA",30479
1760,"Natick, MA",36659
1770,"Sherborn, MA",4401
1772,"Southborough, MA",10017
1773,"Lincoln, MA",5651
1775,"Stow, MA",7190
1776,"Sudbury, MA",18934
1778,"Wayland, MA",14132
1801,"Woburn, MA",40891
1803,"Burlington, MA",26074
1810,"Andover, MA",35621
1821,"Billerica, MA",30909
1824,"Chelmsford, MA",26881
1826,"Dracut, MA",32689
1827,"Dunstable, MA",3358
1830,"Haverhill, MA",27553
1832,"Haverhill, MA",25656
1833,"Georgetown, MA",8410
1834,"Groveland, MA",6752
1835,"Haverhill, MA",14578
1840,"Lawrence, MA",7121
1841,"Lawrence, MA",53654
1843,"Lawrence, MA",28346
1844,"Methuen, MA",52970
1845,"North Andover, MA",31855
1850,"Lowell, MA",16670
1851,"Lowell, MA",32691
1852,"Lowell, MA",36708
1854,"Lowell, MA",29561
1860,"Merrimac, MA",6723
1862,"North Billerica, MA",11430
1863,"North Chelmsford, MA",9536
1864,"North Reading, MA",15554
1867,"Reading, MA",25522
1876,"Tewksbury, MA",31105
1879,"Tyngsboro, MA",12368
1880,"Wakefield, MA",27071
1886,"Westford, MA",24618
1887,"Wilmington, MA",23349
1890,"Winchester, MA",22970
1901,"Lynn, MA",2794
1902,"Lynn, MA",50725
1904,"Lynn, MA",19944
1905,"Lynn, MA",27761
1906,"Saugus, MA",28619
1907,"Swampscott, MA",15148
1908,"Nahant, MA",3334
1913,"Amesbury, MA",17366
1915,"Beverly, MA",42341
1921,"Boxford, MA",8263
1922,"Byfield, MA",3134
1923,"Danvers, MA",27987
1929,"Essex, MA",3618
1930,"Gloucester, MA",29729
1937,"Hathorne, MA (PO boxes)",100
1938,"Ipswich, MA",13785
1940,"Lynnfield, MA",13326
1944,"Manchester, MA",5395
1945,"Marblehead, MA",20462
1949,"Middleton, MA",9779
1950,"Newburyport, MA",18289
1951,"Newbury, MA",3582
1952,"Salisbury, MA",9236
1960,"Peabody, MA",54155
1965,"Prides Crossing, MA (PO boxes)",329
1966,"Rockport, MA",6992
1969,"Rowley, MA",6161
1970,"Salem, MA",44451
1982,"South Hamilton, MA",7618
1983,"Topsfield, MA",6569
1984,"Wenham, MA",4979
1985,"West Newbury, MA",4500
2019,"Bellingham, MA",16945
2021,"Canton, MA",24370
2025,"Cohasset, MA",8381
2026,"Dedham, MA",25364
2030,"Dover, MA",5923
2032,"East Walpole, MA",4853
2035,"Foxboro, MA",18618
2038,"Franklin, MA",33261
2043,"Hingham, MA",24272
2045,"Hull, MA",10072
2047,"Humarock, MA (PO boxes)",371
2048,"Mansfield, MA",23860
2050,"Marshfield, MA",25956
2052,"Medfield, MA",12799
2053,"Medway, MA",13115
2054,"Millis, MA",8460
2056,"Norfolk, MA",11662
2061,"Norwell, MA",11351
2062,"Norwood, MA",31611
2066,"Scituate, MA",18561
2067,"Sharon, MA",18553
2071,"South Walpole, MA",968
2072,"Stoughton, MA",29281
2081,"Walpole, MA",20584
2090,"Westwood, MA",16266
2093,"Wrentham, MA",12178
2108,"Boston, MA",4228
2109,"Boston, MA",3921
2110,"Boston, MA",2921
2111,"Boston, MA",9716
2113,"Boston, MA",7126
2114,"Boston, MA",14469
2115,"Boston, MA",31604
2116,"Boston, MA",23408
2118,"Boston, MA",29073
2119,"Roxbury, MA",29175
2120,"Roxbury Crossing, MA",17578
2121,"Dorchester, MA",28766
